GDP,Industrial production,Retail sales,Unemployment rate,Inflation rate,Interest rates,Exchange rates
341.22,1.23,1.15,0.9,6.3,8.1,75
342.23,1.24,1.16,0.91,6.4,8.2,76
343.24,1.25,1.17,0.92,6.5,8.3,77
344.25,1.26,1.18,0.93,6.6,8.4,78
345.26,1.27,1.19,0.94,6.7,8.5,79
346.27,1.28,1.2,0.95,6.8,8.6,80
347.28,1.29,1.21,0.96,6.9,8.7,81
348.29,1.3,1.22,0.97,7,8.8,82
349.3,1.31,1.23,0.98,7.1,8.9,83
350.31,1.32,1.24,0.99,7.2,9,84
351.32,1.33,1.25,1,7.3,9.1,85
352.33,1.34,1.26,1.01,7.4,9.2,86
